brand_string,brand_id,symbol_id,url,preprocessed_index
STICKY FINGERS,30409,12018,https://www.amazon.com/Sticky-Fingers-Carolina-Sweet-Barbecue/dp/B00C7VDAZM,38132
SWEET BABY RAYS,30410,12018,https://www.amazon.com/dp/B00U3PG696,46831
GRILLOS PICKLES,30352,12019,https://www.amazon.com/dp/B07813Z7HR,18857
KINGS HAWAIIAN,30352,12019,https://www.amazon.com/Kings-Hawaiian-Sweet-Sliced-Bread/dp/B07YF9JNLF/,9701
SHAKA TEA,30352,12019,https://www.amazon.com/dp/B0BJ14B1F6,12944
BROADWAY,30432,12020,https://www.amazon.com/Broadway-Vita-Lip-Clear-Gloss-0-47oz/dp/B09DMGWJKY/,30084
BROADWAY COLORS,30432,12020,https://www.amazon.com/Broadway-Colors-Buttery-Matte-Summer/dp/B095NB5MF2,30088
BROADWAY NAILS,30432,12020,https://www.amazon.com/imPress-Length-Whistles-Broadway-Manicure/dp/B07TSYCK75,30103
JOAH,30432,12020,https://www.amazon.com/Seoul-Golden-Sunless-Tanning-Drops/dp/B093CLT7FB,8357
KISS,30432,12020,https://www.amazon.com/Kiss-Originals-Vinyl-Box-Set/dp/B07T2NDSQF,10475
KISS COLORS & CARE,30432,12020,https://www.amazon.com/dp/B0BNN4BQ6C,10479
KISS LOVE,30432,12020,https://www.amazon.com/dp/B0BPSMLWY2,10490
KISS NATURALS,30432,12020,https://www.amazon.com/Kiss-Naturals-Bath-Bomb-Making/dp/B08QNJF1D4,10515
RED BY KISS,30432,12020,https://www.amazon.com/dp/B0BBWDY851,4723
RK BY KISS,30432,12020,https://www.amazon.com/Quick-Cover-Touch-Stick-Black/dp/B016DYR144,11915
RUBY KISSES,30432,12020,https://www.amazon.com/dp/B0C75K5LJ5,17371
KODIAK,30385,12021,https://www.amazon.com/Kodiak-KB5529ECS-Protection-Electronic-Organizer/dp/B084H5TK53/,13164
BLACK DIAMOND,30269,12022,https://www.amazon.com/Black-Diamond-Unisex-MOJO-Chalk/dp/B086RJY1PC,19142
BREAKSTONES,30269,12022,https://www.amazon.com/Kraft-Breakstones-Natural-Cream-Ounce/dp/B00CHU4UNO,28662
BROWN COW,30269,12022,https://www.amazon.com/dp/B000O6GAPY,30579
CLASSICO,30269,12022,https://www.amazon.com/Classico-Organic-Roasted-Garlic-Pasta/dp/B07CY24QZL/,18414
CRACKER BARREL,30269,12022,https://www.amazon.com/dp/B00U8KUNMW,30268
GRECO,30269,12022,https://www.amazon.com/El-Greco-Hyperion-miniatures/dp/B0007E7UNE,17602
KNUDSEN,30269,12022,https://www.amazon.com/R-W-Knudsen-Just-Blueberry-Juice/dp/B0097O5C94,12877
KRAFT,30269,12022,https://www.amazon.com/Kraft-Creamy-Cucumber-Salad-Dressing/dp/B00B78YUOG,15515
LIEBE,30269,12022,https://www.amazon.com/Realistic-Silicone-Halloween-Cosplay-Transgender/dp/B08HGBYTK5,11870
PARMALAT,30269,12022,https://www.amazon.com/Parmalat-2-Reduced-Fat-Milk/dp/B0052T7KN4,3423
PRECIOUS,30269,12022,https://www.amazon.com/%E5%AF%B6%E9%A6%AC%E6%B5%B7%E7%9A%87%E7%8E%89%E9%AE%91-Precious-Giant-Shellfish-abalone/dp/B0769C866H,20682
