,,brand_jarowinkler,preprocessed_values
607,604,1.0,"['NATURAL FACTORS WHEY FACTORS', 'NATURAL BALANCE CHOW DOWN CHOWDER']"
607,606,1.0,"['NATURAL FACTORS WHEY FACTORS', 'NATURAL BALANCE ULTRA FAT DOGS']"
608,605,1.0,"['NATURAL FACTORS WOMENSENSE GI SENSE', 'NATURAL BALANCE LIMITED INGREDIENT DIETS']"
608,607,1.0,"['NATURAL FACTORS WOMENSENSE GI SENSE', 'NATURAL FACTORS WHEY FACTORS']"
610,603,1.0,"['NATURE TARGET', 'NATUR BAG']"
610,606,1.0,"['NATURE TARGET', 'NATURAL BALANCE ULTRA FAT DOGS']"
610,607,1.0,"['NATURE TARGET', 'NATURAL FACTORS WHEY FACTORS']"
611,599,1.0,"['NATURES GOODNESS', 'NAGO']"
611,603,1.0,"['NATURES GOODNESS', 'NATUR BAG']"
611,610,1.0,"['NATURES GOODNESS', 'NATURE TARGET']"
612,605,1.0,"['NATURES LIFE SUPER LECI THINS', 'NATURAL BALANCE LIMITED INGREDIENT DIETS']"
612,608,1.0,"['NATURES LIFE SUPER LECI THINS', 'NATURAL FACTORS WOMENSENSE GI SENSE']"
612,609,1.0,"['NATURES LIFE SUPER LECI THINS', 'NATURE LUSH CLEAN EYES']"
613,603,1.0,"['NATURES RITE', 'NATUR BAG']"
613,610,1.0,"['NATURES RITE', 'NATURE TARGET']"
613,611,1.0,"['NATURES RITE', 'NATURES GOODNESS']"
613,612,1.0,"['NATURES RITE', 'NATURES LIFE SUPER LECI THINS']"
614,610,1.0,"['NATURES VARIETY PRAIRIE', 'NATURE TARGET']"
614,613,1.0,"['NATURES VARIETY PRAIRIE', 'NATURES RITE']"
615,610,1.0,"['NATURES WONDER', 'NATURE TARGET']"
615,611,1.0,"['NATURES WONDER', 'NATURES GOODNESS']"
615,613,1.0,"['NATURES WONDER', 'NATURES RITE']"
616,151,1.0,"['NATURO SCIENCES', 'CARE SCIENCE']"
616,611,1.0,"['NATURO SCIENCES', 'NATURES GOODNESS']"
616,613,1.0,"['NATURO SCIENCES', 'NATURES RITE']"
616,615,1.0,"['NATURO SCIENCES', 'NATURES WONDER']"
621,620,1.0,"['NEUTROGENA SKIN CLEARING', 'NEUTROGENA MAKEUP MELTING']"
635,634,1.0,"['NOBRAND BALLET GROUP', 'NOBRAND ARDALIN FOODS']"
637,634,1.0,"['NOBRAND FLEMING INTERNATIONAL', 'NOBRAND ARDALIN FOODS']"
637,635,1.0,"['NOBRAND FLEMING INTERNATIONAL', 'NOBRAND BALLET GROUP']"
638,634,1.0,"['NOBRAND TDC', 'NOBRAND ARDALIN FOODS']"
638,635,1.0,"['NOBRAND TDC', 'NOBRAND BALLET GROUP']"
638,636,1.0,"['NOBRAND TDC', 'NOBRAND EVERGREEN ENTERPRISES']"
638,637,1.0,"['NOBRAND TDC', 'NOBRAND FLEMING INTERNATIONAL']"
643,642,1.0,"['NUBY', 'NUBEST']"
646,55,1.0,"['NYLABONE ESSENTIALS', 'BABY ESSENTIALS']"
648,647,1.0,"['NYX EPIC WEAR', 'NYX COSMIC METALS']"
660,534,1.0,"['ORAL7', 'LOREAL']"
674,673,1.0,"['PANTENE PRO V STRENGTH RECONSTRUCTION', 'PANTENE']"
680,679,1.0,"['PAUL MITCHELL SUPER SKINNY', 'PAUL MITCHELL EXTRA BODY']"
683,682,1.0,"['PEARS', 'PEANUTS']"
690,689,1.0,"['PETKIN', 'PETITPOT']"
695,694,1.0,"['PHILIPS HUE', 'PHILIPS AVENT CLASSIC PLUS']"
696,695,1.0,"['PHILIPS ULTRA DEFINITION', 'PHILIPS HUE']"
713,712,1.0,"['PREMIERES PAIN SPRAY', 'PREMIER PROTEIN']"
714,712,1.0,"['PREMIUM BATTERIES', 'PREMIER PROTEIN']"
722,719,1.0,"['PURO', 'PURE BODY']"
730,729,1.0,"['REAL TECHNIQUES ENCHANTED', 'REAL TECHNIQUES BY SAM & NIC']"
738,737,1.0,"['REMINGTON LITHIUM POWER SERIES', 'REMINGTON ANYWEAR HAIR']"
742,85,1.0,"['REVELE', 'BEVEL']"
742,735,1.0,"['REVELE', 'REESES']"
744,743,1.0,"['REVLON PHOTOREADY EYE ART', 'REVLON COLORSTAY SATIN INK']"
748,174,1.0,"['RICOLA', 'CIRA']"
750,749,1.0,"['RILEYS ORGANICS', 'RIEGA ORGANIC']"
754,332,1.0,"['RIVERAS', 'FRIEDAS']"
754,752,1.0,"['RIVERAS', 'RIVE SUD']"
754,753,1.0,"['RIVERAS', 'RIVER VALLEY SELECTS']"
756,708,1.0,"['ROCKVILLE', 'POCASVILLE']"
758,42,1.0,"['ROMA', 'AROMAR']"
759,36,1.0,"['ROSA CUBA', 'ARC USA']"
760,759,1.0,"['ROSA RUGOSA', 'ROSA CUBA']"
763,758,1.0,"['ROYALE', 'ROMA']"
763,762,1.0,"['ROYALE', 'ROYAL ANIMALS']"
771,770,1.0,"['SAMBUGRA', 'SAMBUCOL']"
775,773,1.0,"['SATELLITESALE', 'SANTITAS']"
787,786,1.0,"['SCHWARZKOPF OSIS PLUS', 'SCHWARZKOPF ESSENCE ULTIME AMBER PLUS OIL NUTRITION']"
788,786,1.0,"['SCHWARZKOPF SMOOTH N SHINE', 'SCHWARZKOPF ESSENCE ULTIME AMBER PLUS OIL NUTRITION']"
788,787,1.0,"['SCHWARZKOPF SMOOTH N SHINE', 'SCHWARZKOPF OSIS PLUS']"
818,810,1.0,"['SMT', 'SM NUTRITION']"
818,816,1.0,"['SMT', 'SMITH & HOOK']"
822,821,1.0,"['SOAP & GLORY FACE SOAP & CLARITY', 'SOAP & GLORY CLEAN A COLADA']"
823,821,1.0,"['SOAP & GLORY SUPERCAT', 'SOAP & GLORY CLEAN A COLADA']"
823,822,1.0,"['SOAP & GLORY SUPERCAT', 'SOAP & GLORY FACE SOAP & CLARITY']"
831,804,1.0,"['SOVA', 'SKOAL']"
835,834,1.0,"['SPICE JUNGLE', 'SPICE ESSENTIALS']"
841,812,1.0,"['ST CLAIRES ORGANICS', 'SMART KIDS ORGANIC']"
845,844,1.0,"['STONE LEVITATION ALE', 'STONE CLIFF']"
857,851,1.0,"['SURF', 'SUGARFOX']"
857,855,1.0,"['SURF', 'SUPERFRUIT']"
859,858,1.0,"['SWEET SENSATIONS', 'SWEET RAINBOW']"
870,869,1.0,"['TERRA DELYSSA', 'TERRA BLANCA']"
872,868,1.0,"['TERVIS SIMPLY SOUTHERN', 'TERESA TAYLOR HOME RUN']"
874,873,1.0,"['TEXAS RED', 'TEXAS BLUEBONNET']"
878,877,1.0,"['THE CUP', 'THE COUNTRY HEN']"
879,876,1.0,"['THE HONEST CO', 'THE BOTANIST']"
879,877,1.0,"['THE HONEST CO', 'THE COUNTRY HEN']"
880,876,1.0,"['THE JAY COMPANIES MENTOS', 'THE BOTANIST']"
880,878,1.0,"['THE JAY COMPANIES MENTOS', 'THE CUP']"
881,880,1.0,"['THE MEMORY NCAA PENN STATE NITTANY LIONS', 'THE JAY COMPANIES MENTOS']"
885,878,1.0,"['THE PRISONER', 'THE CUP']"
886,877,1.0,"['THE UNION HOUSE', 'THE COUNTRY HEN']"
886,879,1.0,"['THE UNION HOUSE', 'THE HONEST CO']"
886,885,1.0,"['THE UNION HOUSE', 'THE PRISONER']"
887,875,1.0,"['THE WESTBEAN', 'THE BALM MR WRITE NOW']"
887,876,1.0,"['THE WESTBEAN', 'THE BOTANIST']"
894,893,1.0,"['TIDE FREE & GENTLE', 'TIDE']"
896,895,1.0,"['TIESTA TEA SLENDERIZER', 'TIESTA TEA']"
899,25,1.0,"['TODAYS KITCHEN', 'AMMAS KITCHEN']"
905,893,1.0,"['TRIBE', 'TIDE']"
913,912,1.0,"['TRUSTY PUP DREAM LUXE', 'TRUSTY PUP']"
931,927,1.0,"['UNO', 'UNDERCOVER']"
931,929,1.0,"['UNO', 'UNIBODY']"
937,936,1.0,"['VANJAK', 'VANART']"
946,7,1.0,"['VITA PLUS', 'ACU PLUS']"
946,945,1.0,"['VITA PLUS', 'VITA MIRACLE']"
948,445,1.0,"['VM INTERNATIONAL', 'INTERNATIONAL SPICE']"
952,951,1.0,"['WACKY WALK R', 'WACKY APPLE']"
955,954,1.0,"['WEGE OF HANOVER', 'WEEKS HONEY FARM']"
963,962,1.0,"['WHITE HORSE', 'WHITE CLOUD ULTRA STRONG & SOFT']"
967,966,1.0,"['WILD PLANET', 'WILD GARDEN']"
970,482,1.0,"['WINGS', 'KINGS']"
973,972,1.0,"['WISCONSINS FINEST', 'WISCONSINS BEST & WISCONSIN CHEESE']"
983,807,1.0,"['WSKY', 'SKYY']"
983,975,1.0,"['WSKY', 'WISK']"
992,5,1.0,"['ZACKY FARMS', 'ABBEY FARMS']"
995,994,1.0,"['ZAK DESIGN MINIONS', 'ZAK DESIGN DESPICABLE ME 2']"
996,994,1.0,"['ZAK DESIGN PJ MASKS', 'ZAK DESIGN DESPICABLE ME 2']"
996,995,1.0,"['ZAK DESIGN PJ MASKS', 'ZAK DESIGN MINIONS']"
997,750,1.0,"['ZEPHYR ORGANICS', 'RILEYS ORGANICS']"
